customer_id,customer_name,city,contact_phone,email
1,Doosan Heavy Industries,Чханвон,+70855561857,doosanheavyindustries@mail.ru
2,Rolls-Royce Holdings,Лондон,84484795853,rolls-royceholdings@yandex.ru
3,General Dynamics,Рестон,82092495664,generaldynamics@aol.com
4,Lockheed Martin,Бетесда,+77220766569,lockheedmartin@gmx.com
5,Boeing,Чикаго,+7 (854) 102-67-91,boeing@icloud.com
6,Northrop Grumman,Фолс-Черч,8 (738) 027-9794,northropgrumman@rediffmail.com
7,Raytheon Technologies,Уолтем,8 (757) 228-29-18,raytheontechnologies@aol.com
8,L3Harris Technologies,Мельбурн,81041185467,l3harristechnologies@aol.com
9,BAE Systems,Лондон,+7 (817) 035-8890,baesystems@fastmail.com
10,Safran,Париж,8 749 220 6329,safran@mail.com
11,United Technologies,Фармингтон,85758588300,unitedtechnologies@tutanota.com
12,PACCAR,Белвью,+7 088 362 31 07,paccar@rediffmail.com
13,Continental AG,Ганновер,+7 (229) 459-05-77,continentalag@gmail.com
14,Magna International,Орора,8 456 201 37 41,magnainternational@mail.com
15,Dana Incorporated,Моми,8 863 246 6192,danaincorporated@qq.com
16,Aisin Seiki,Карья,8 (035) 791-42-54,aisinseiki@qq.com
17,NSK Ltd.,Токио,+7 181 154 7386,nskltd.@aol.com
18,Schaeffler Group,Херцогенаурах,8 (605) 294-30-73,schaefflergroup@yahoo.com
19,GKN Automotive,Реддич,86783371156,gknautomotive@yahoo.com
20,Mahle GmbH,Штутгарт,+78723049429,mahlegmbh@rediffmail.com
21,Tenneco,Лейк-Форест,8 922 919 6111,tenneco@sina.com
22,Yazaki Corporation,Токио,+76996816431,yazakicorporation@naver.com
23,Sumitomo Electric,Осака,+7 192 569 8495,sumitomoelectric@naver.com
24,Furukawa Electric,Токио,+7 (466) 592-15-90,furukawaelectric@yandex.ru
25,Nexans,Париж,+7 (792) 831-89-47,nexans@fastmail.com
26,Prysmian Group,Милан,8 118 506 18 06,prysmiangroup@rediffmail.com
27,Legrand,Лимож,+7 (270) 981-00-19,legrand@mail.ru
28,Hubbell Incorporated,Шелтон,8 (219) 902-60-64,hubbellincorporated@qq.com
29,nVent Electric,Лондон,8 091 780 1859,nventelectric@outlook.com
30,Amphenol,Уоллингфорд,+72775140168,amphenol@mail.com
31,TE Connectivity,Шаффхаузен,+7 (778) 124-85-63,teconnectivity@qq.com
32,Molex,Лайл,8 (362) 998-84-65,molex@sina.com
33,Aptiv,Дублин,+7 (065) 181-38-59,aptiv@gmail.com
34,Lear Corporation,Саутфилд,8 047 184 4067,learcorporation@mail.ru
35,Adient,Плимут,+7 298 320 7396,adient@outlook.com
36,BASF,Людвигсхафен,8 528 447 4072,basf@sina.com
37,Dow Chemical,Мидленд,80395095054,dowchemical@mail.com
38,DuPont,Уилмингтон,8 (518) 161-0912,dupont@gmail.com
39,LyondellBasell,Хьюстон,8 (390) 884-1101,lyondellbasell@yahoo.com
40,Linde plc,Гилфорд,+7 (390) 962-0360,lindeplc@hotmail.com
41,Air Liquide,Париж,+79777481981,airliquide@outlook.com
42,Praxair,Данбери,8 (284) 758-57-44,praxair@fastmail.com
43,Mitsubishi Chemical,Токио,+7 084 378 8526,mitsubishichemical@hotmail.com
44,Sumitomo Chemical,Токио,8 616 474 6357,sumitomochemical@sina.com
45,Toray Industries,Токио,8 (638) 429-4606,torayindustries@mail.com
46,LG Chem,Сеул,8 215 986 7254,lgchem@hushmail.com
47,Samsung SDI,Сеул,+7 (035) 359-68-34,samsungsdi@outlook.com
48,SK Innovation,Сеул,8 605 587 62 76,skinnovation@yahoo.com
49,ThyssenKrupp Steel,Дуйсбург,8 482 719 3522,thyssenkruppsteel@yandex.ru
50,Alcoa,Питтсбург,8 541 428 50 96,alcoa@zoho.com
51,Rio Tinto,Мельбурн,+7 (707) 005-86-69,riotinto@yahoo.com
52,BHP,Мельбурн,+7 705 265 33 57,bhp@sina.com
53,Glencore,Баар,8 (293) 943-0523,glencore@aol.com
